Path_way_name	Normal_5_P2	Normal_6_P	Normal_9_P	Normal_10_P	Normal_11_P	Normal_12_P2	Normal_13_P	Normal_14_P	Normal_15_P2	Normal_16_P2	MM7_P	MM8_P	MM9_P	MM12_P	MM13_P	MM15_P	MM20_P	MM21_P	MM22_P	HL1_P	HL2_P	HL3_P	HL4_P	HL5_P	HL6_P	HL7_P	HL8_P
AKT_Pathway_Caspase_Cascade	-0.212115	-1.777502	0.196229	1.200068	2.971383	2.136520	-4.339148	-4.339148	2.653679	1.510035	-3.994873	1.344685	-1.470052	-9.601839	-3.434932	0.133955	-0.527613	-1.430578	-1.585008	-4.535041	-7.117868	-0.051768	-0.551315	-3.363404	-5.720733	4.968771	4.318083
AKT_Pathway_Cell_Cycle	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.513121	-1.020261	-0.697852	-0.867969	0.000000	0.000000	0.000000	-1.454285	-0.846956	0.000000	-1.475376	0.000000	-1.237695	0.000000	-1.381585	-1.590315	0.000000
AKT_Pathway_Cell_Cycle_Progression	-1.338905	-2.467461	9.104746	1.196312	1.699833	0.165738	-3.817513	-6.309930	0.682896	1.084284	-3.740112	-1.632758	-0.843448	0.316504	-0.984568	0.298343	-3.607673	-3.401360	-2.785557	1.384692	-2.828276	7.319080	-0.797970	1.723439	-3.546760	8.263429	3.588397
AKT_Pathway_Cell_Survival	-0.845533	0.910731	-0.046636	0.566911	-0.903271	0.412209	0.621585	-1.542949	0.052199	0.774753	0.681938	0.902549	0.497074	-0.068109	0.533788	-0.507028	-1.140183	1.263797	0.343565	-0.357161	2.113280	0.293186	1.894856	0.809459	0.277351	0.583017	0.559146
AKT_Pathway_Death_Genes	-3.461572	-5.026959	1.631834	6.259435	-0.278074	2.002837	-7.588605	-7.588605	9.479855	4.569856	1.386162	1.156011	6.517095	1.461160	2.157902	-1.593435	1.940233	-4.680035	-2.293597	3.265017	9.337458	14.984357	3.229146	0.749290	-0.680679	10.171204	13.750264
AKT_Pathway_Elevation_of_Glucose_Import	2.363591	-4.479302	10.511572	2.385096	0.269583	-0.565280	-7.040948	-7.040948	4.788403	-1.191765	0.599715	-1.357115	1.420259	-0.476712	7.343225	-0.622452	0.511711	-4.132378	-4.286808	0.573857	0.819482	10.732818	3.776803	-2.384129	-4.277778	9.628860	5.339570
AKT_Pathway_ERK_Pathway	-0.340310	-1.123004	2.206393	0.365781	1.251438	0.834007	-2.403827	-2.403827	1.092586	0.520764	0.447226	0.438089	0.779999	0.745125	0.258854	0.095925	-0.498059	-0.949542	-1.026757	0.858414	1.526388	4.037755	-0.509911	-0.075417	-1.022242	4.090605	1.924788
AKT_Pathway_Genetic_Stability	-1.656126	-7.757071	11.462648	1.440608	3.424959	-0.573479	-2.256395	-11.346913	2.989547	4.272222	-0.505273	-1.365314	0.098687	0.238712	-3.934358	0.809806	-1.367050	-4.140576	-0.493836	6.783237	0.811283	6.952786	-0.675123	2.672497	-4.285976	9.426729	1.608084
AKT_Pathway_Glucose_Uptake	-2.237738	-7.922015	5.618636	5.505511	1.056322	-0.892219	-6.208382	0.804185	2.600900	1.674800	6.146147	3.055897	0.441504	-0.179913	4.758217	-5.484156	-2.931002	-3.212234	-7.729521	-0.654303	1.802896	7.290106	-2.982744	-5.826841	-7.720491	6.186148	1.896858
AKT_Pathway_Glycogen_Synthesis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.513121	-1.020261	-0.697852	-0.867969	0.000000	0.000000	0.000000	-1.454285	-0.846956	0.000000	-1.475376	0.000000	-1.237695	0.000000	-1.381585	-1.590315	0.000000
AKT_Pathway_Insulin_Stimulated_Mitogenesis	-4.822864	-6.388252	0.270542	-3.410682	-1.639367	0.641544	-4.674619	9.636849	1.104300	9.282549	0.024870	-0.205281	5.974276	2.055790	4.363507	-3.423992	0.578941	-1.678471	2.904943	1.903724	5.478697	3.933267	-5.162064	-4.293078	2.488802	4.038966	6.751470
AKT_Pathway_JNK_Pathway	-0.410698	-0.054851	4.682708	1.001485	2.772800	1.937937	-8.475867	-1.778006	2.455095	-2.130604	2.413653	1.146101	2.353310	0.366767	4.068676	0.212857	-1.543303	-3.251885	-2.816394	4.990699	3.322699	7.122783	5.242020	1.959626	0.297817	9.561402	4.119500
AKT_Pathway_Neuroprotection	0.256444	-1.308943	5.349850	1.668627	3.439941	2.605078	-3.870589	-3.870589	0.060866	-4.330684	-0.598864	1.813243	0.403508	2.160982	1.454772	-0.675662	-7.128013	-8.873196	-1.116449	1.563569	-5.075792	4.121974	-0.082756	-7.223131	-1.107419	6.897736	4.786642
AKT_Pathway_NF_kB_Pathway	-2.751245	3.928173	2.342161	-1.339063	0.432252	-0.402611	-6.878279	-0.726119	0.114548	5.280182	-0.429323	-1.194446	-0.510626	-0.580375	2.868229	-1.878774	-3.066743	0.393148	-4.124138	-0.353797	0.982152	10.895488	-3.090445	3.419629	-4.115108	14.553285	1.778952
AKT_Pathway_p53_Degradation	1.848194	0.567371	-0.445758	1.848194	0.438377	0.809603	-1.388542	-0.202526	0.236020	-3.710934	-0.566443	-1.773699	-2.253983	-0.978199	-1.457311	-0.618186	1.848194	-0.315438	0.471124	-0.557080	0.372819	-3.426816	-0.045722	-0.032168	-0.691991	-3.958425	-0.499851
AKT_Pathway_p73_Mediated_Apoptosis	0.065631	1.032219	7.691012	0.122961	1.551652	1.830467	-1.529427	-1.529427	-1.600166	-7.634920	1.300702	4.154405	2.744670	4.251255	-2.766157	3.470077	2.282108	1.379143	1.224713	3.034550	6.331003	2.757953	2.258406	3.127392	1.233743	7.778492	7.127804
AKT_Pathway_Protein_Synthesis	0.828700	0.828700	0.828700	0.828700	-5.012750	0.828700	-0.596393	0.828700	-0.191757	0.828700	0.579750	-0.191561	0.828700	0.656293	0.828700	0.828700	0.828700	0.828700	0.828700	0.828700	0.828700	0.828700	0.828700	0.828700	-0.552885	0.828700	0.828700
AKT_Pathway_Regeneration_of_Cyclic_Nucleotide	-3.702482	6.113188	1.390924	-2.290299	-0.518985	-1.353848	-7.829516	-1.677356	2.224683	7.643690	-1.380560	-2.145683	2.036693	5.432894	9.279222	-2.303609	-4.017980	-4.920945	-5.075375	-0.214710	0.030915	9.944251	-4.041682	2.468392	-5.066345	5.159349	4.551003
AKT_Pathway_Respiratory_Burst	0.693010	-3.404353	3.254440	-0.426783	1.344532	0.509669	-5.965999	-5.965999	5.863352	4.098133	3.713532	11.252112	2.495208	4.337749	3.780509	5.535494	-2.154464	-3.057429	0.919351	2.518988	1.894431	23.590345	-2.178166	-1.309180	0.941927	9.243403	6.414519
AKT_Pathway_Survival_Genes	3.699044	3.782022	0.190345	-1.650266	-0.764609	-1.182040	-4.419874	-4.419874	1.117453	3.647799	-1.568821	2.482615	0.159655	-1.093368	1.190237	-1.920122	1.297429	-2.965589	-0.288664	2.017515	4.840071	2.021708	1.261876	-2.091465	-0.275119	3.554917	2.390933
AKT_Pathway_Synaptic_Signaling	-3.847953	-6.196034	3.792156	3.452759	9.363492	-0.325001	-10.038503	-1.835623	6.899436	-1.264728	3.367153	-1.512754	4.177717	8.767173	8.600264	5.423980	5.104078	18.599715	6.226974	21.803769	16.756249	18.790428	9.216636	24.394155	13.714510	35.954988	18.947914
AKT_Pathway_Translation	0.474797	-0.123356	1.506556	0.121752	-0.489525	0.314962	0.030271	-1.187206	-0.241651	-0.406600	-0.325525	-0.362257	-0.461552	-0.478008	-0.457340	0.008016	1.506556	1.506556	0.818021	0.229833	1.506556	0.318533	0.887709	1.506556	-1.470667	1.136466	0.886008
Androgen_receptor_Pathway	-66.476585	20.514815	50.192956	-0.759444	-48.219090	-1.730373	23.031357	38.361327	-20.540103	5.625141	59.612791	23.976068	50.245993	13.292284	50.077850	-1.391617	-105.002362	31.872606	-26.828753	36.044292	56.562123	20.416063	58.627545	1.989392	16.764456	10.149414	55.790319
Androgen_receptor_Pathway_Apoptosis	-0.458602	1.473515	1.375313	-0.521019	-0.646552	1.047337	0.192692	-7.675152	2.095185	3.117283	2.174682	3.034608	-0.043295	0.456246	-0.688640	-0.305237	0.369557	1.646977	1.569762	5.080880	5.598282	5.888429	2.742830	2.521101	-0.965908	8.808775	-1.201805
Androgen_receptor_Pathway_AR_Degradation	-49.812793	15.977145	20.150498	39.428839	-1.012586	4.254954	20.199018	31.359184	-40.127848	-40.416412	34.296355	-14.326001	34.366179	21.308876	37.632111	-20.335907	-99.223737	31.483756	-32.418129	-9.766211	20.831601	-47.963789	49.203942	-26.792154	-9.032855	-47.797058	25.987719
Androgen_receptor_Pathway_Cell_Survival_._Cell_Growth	-5.540004	4.712850	-1.857371	-4.015708	-3.425278	-3.982117	5.697666	2.451973	0.436125	5.521863	-0.877322	-1.520982	5.853004	-1.342848	-1.178868	-4.250210	-3.669442	-0.585761	-2.047226	5.163183	1.265102	0.179964	-4.921156	6.942121	-2.197533	0.106413	-0.502444
Androgen_receptor_Pathway_Gonadotropin_Regulation	-9.596607	-3.653757	9.831247	-2.467126	-13.420311	2.162668	-0.473544	11.038379	-1.202027	7.781078	3.185761	9.975220	2.741344	1.829842	13.619857	6.822798	-12.265175	-4.250369	-7.823267	-1.979940	5.307130	5.206039	9.526645	-7.065551	7.662939	1.818954	6.091044
Androgen_receptor_Pathway_Histone_Modification	-9.596607	-3.653757	9.831247	-2.467126	-13.420311	2.162668	-0.473544	11.038379	-1.202027	7.781078	3.185761	9.975220	2.741344	1.829842	13.619857	6.822798	-12.265175	-4.250369	-7.823267	-1.979940	5.307130	5.206039	9.526645	-7.065551	7.662939	1.818954	6.091044
Androgen_receptor_Pathway_Prostate_Differentiation_._Development	-9.596607	-3.653757	9.831247	-2.467126	-13.420311	2.162668	-0.473544	11.038379	-1.202027	7.781078	3.185761	9.975220	2.741344	1.829842	13.619857	6.822798	-12.265175	-4.250369	-7.823267	-1.979940	5.307130	5.206039	9.526645	-7.065551	7.662939	1.818954	6.091044
Androgen_receptor_Pathway_Sexual_Differentiation_._Sexual_Maturation_at_Puberty	-9.596607	-3.653757	9.831247	-2.467126	-13.420311	2.162668	-0.473544	11.038379	-1.202027	7.781078	3.185761	9.975220	2.741344	1.829842	13.619857	6.822798	-12.265175	-4.250369	-7.823267	-1.979940	5.307130	5.206039	9.526645	-7.065551	7.662939	1.818954	6.091044
ATM_Pathway	-3.919588	7.008083	-0.028441	-5.889322	-0.271155	-0.112315	7.025246	-12.947697	12.772138	-3.636949	-17.717987	8.757516	6.442758	-0.383662	14.679334	-9.812103	-3.417208	-3.152305	-4.699156	3.352232	13.088775	-1.011304	-1.973774	15.727257	-11.161123	6.776501	5.333442
ATM_Pathway_Apoptosis	-1.302897	-1.902650	3.139047	-2.571924	-2.856002	-1.648567	-1.052211	3.241531	1.767865	3.185808	0.312272	-7.237720	-5.317520	-0.660448	-5.238378	-6.542775	-2.090127	-6.094349	-0.371997	8.383676	5.486839	6.612351	2.206688	3.658541	1.078558	4.406573	9.012709
ATM_Pathway_Apoptosis_._Senescense	-7.390337	2.539009	3.598354	-0.047732	-6.945168	0.441211	-4.796570	0.488797	1.408707	10.703729	-6.711706	22.590598	13.257164	-0.230879	15.823890	-4.660623	-7.270720	10.690335	-5.548505	4.233995	16.285986	24.193996	8.095102	6.932858	-4.929254	13.042681	15.927264
ATM_Pathway_Cell_Cicle_Checkpoint_Control	-4.095283	4.025873	1.924540	-5.724023	4.859889	1.890772	10.849653	-8.315242	-2.244018	-3.172160	-4.749879	0.546095	4.898673	2.099660	0.407029	-5.459523	-2.080036	1.321732	-4.787480	-4.564951	-0.136069	5.017899	-1.528547	3.366450	-8.315242	-1.051515	9.788989
ATM_Pathway_Cell_Survival	-2.785512	-1.400806	-1.353731	-1.609116	-2.266613	-4.219165	-6.818805	-6.000619	10.113932	16.340436	-8.021394	0.832275	3.176904	-2.687118	13.707142	-9.214439	0.254497	-5.800373	1.962894	0.896957	1.101979	13.897550	-1.446922	5.308107	-5.890823	4.126055	9.614335
ATM_Pathway_Checkpoint_Activation	-6.059516	-5.185853	4.689078	-5.156281	-0.698413	0.665714	5.365898	5.823542	3.160249	-2.604417	1.828433	1.113837	5.466416	6.478650	7.536863	-5.361045	-5.253417	-2.473381	-4.219737	-3.997208	0.431673	5.585641	2.752279	9.575281	-7.747499	1.736766	2.285399
ATM_Pathway_DNA_Repair	-2.241444	0.015392	-0.725332	-6.871350	-3.992586	-1.438390	-1.511461	-1.789748	8.389043	10.165876	-6.595163	-0.779782	3.748821	-4.520575	0.159518	-10.800832	-5.812659	-6.858984	-6.200652	-6.786339	-1.178802	9.837859	-7.409723	7.931852	-10.977064	1.047701	-1.688430
ATM_Pathway_G2.M_Checkpoint_Arrest	-3.653104	5.758503	0.103264	0.542815	1.623766	1.419221	-0.355409	-0.456711	2.309629	-7.291974	-12.182769	6.286252	3.495994	2.965001	1.258661	-1.462311	0.075769	2.034297	-0.374289	6.109627	5.237604	-5.482746	1.002397	1.337954	-2.329318	3.312054	2.327723
ATM_Pathway_G2_Mitosis_Progression	-1.189146	1.372500	-1.189146	-1.189146	1.630488	-1.189146	5.284326	2.912294	3.519897	-9.962921	-7.536312	-1.189146	1.143225	-0.536360	1.758285	-1.189146	-1.189146	-1.189146	0.504766	-0.462264	10.246823	-8.317284	-1.189146	6.765271	-1.189146	1.264817	-1.189146
ATM_Pathway_MDMX_Ubiquitination_._Degradation	-0.886659	-3.761875	0.923187	-3.437973	5.032119	-0.489492	0.869677	-3.761875	-0.700503	6.213393	2.604780	14.456626	7.740684	1.740101	20.501280	1.210077	1.955428	8.125453	7.108866	13.668356	5.969975	12.807243	6.329259	9.489271	8.022221	12.785735	12.928524
ATM_Pathway_NF_kB_Pathway	-3.479537	9.199870	0.387200	1.310526	-2.347886	0.129918	-0.911834	-5.167521	0.903703	-0.024439	3.028797	6.754600	8.046395	0.178630	10.116842	-2.781067	-2.673438	6.597496	0.901110	-2.287411	17.911708	16.761405	1.619174	6.514171	-5.167521	19.567595	18.135447
ATM_Pathway_S_Phase_Arrest	-5.755941	-1.039809	2.795858	-4.852706	-4.624290	0.969289	4.606824	-7.443924	5.690865	9.653834	-1.284727	4.478197	19.673646	-3.508788	5.699493	-2.793794	-4.949842	-2.169806	-3.916162	-5.654138	5.161375	5.889216	-0.657230	7.918843	-7.443924	4.590748	2.588974
ATM_Pathway_S_Phase_Progresion	5.342389	6.274757	-0.152988	-1.295521	-0.223878	-0.204727	1.788915	-13.686589	0.746979	1.410664	-0.831177	2.636879	-4.002238	-0.810258	2.048231	-2.106737	-0.879841	-0.810759	-13.980348	-0.379541	2.526180	-1.664398	2.148673	0.689024	-2.678501	-3.286475	-2.094742
ATM_Pathway_Synaptic_Vesicle_Transport	-3.479537	9.199870	0.387200	1.310526	-2.347886	0.129918	-0.911834	-5.167521	0.903703	-0.024439	3.028797	6.754600	8.046395	0.178630	10.116842	-2.781067	-2.673438	6.597496	0.901110	-2.287411	17.911708	16.761405	1.619174	6.514171	-5.167521	19.567595	18.135447
cAMP_Pathway	-7.105993	-11.593792	1.761548	-1.125541	10.545889	2.704191	-16.739089	26.341190	-0.668537	-4.119867	10.952169	28.713935	-16.556658	-7.938945	-8.677701	-22.587948	-9.174684	34.725059	-2.232159	27.556298	21.092100	42.219457	-5.115726	15.728236	14.744274	29.957224	37.182679
cAMP_Pathway_Axonal_Growth	-2.082531	-7.407221	-3.770515	5.655529	3.278572	1.975271	3.354949	-3.770515	3.735774	-0.969313	3.262466	-0.730204	-2.266341	1.961924	-0.823084	-1.335780	-0.029392	0.556750	0.464265	2.672351	6.652017	8.085671	12.440085	4.198983	7.752291	10.895179	12.428719
cAMP_Pathway_Cardiovascular_Homeostasis	0.606215	-3.030492	0.606215	0.606215	0.606215	0.606215	0.606215	0.606215	-0.414243	-0.798768	0.606215	-0.414047	-4.052649	-0.404922	0.606215	0.606215	0.606215	-1.557418	0.606215	-1.233107	-1.583174	0.606215	0.606215	-1.722195	-4.295850	-2.339362	-4.068926
cAMP_Pathway_Cell_Growth	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
cAMP_Pathway_Cell_Proliferation	0.606215	-3.030492	0.606215	0.606215	0.606215	0.606215	0.606215	0.606215	-0.414243	-0.798768	0.606215	-0.414047	-4.052649	-0.404922	0.606215	0.606215	0.606215	-1.557418	0.606215	-1.233107	-1.583174	0.606215	0.606215	-1.722195	-4.295850	-2.339362	-4.068926
cAMP_Pathway_Cell_Survival	-0.477243	-5.801933	0.958148	0.425992	0.654408	4.892468	3.031482	-2.165226	2.052113	-3.570210	0.486389	-3.185488	-6.824090	-0.229182	-2.165226	-1.814292	5.001891	2.703486	-2.165226	8.889080	2.261058	2.586865	1.622607	-4.493636	-7.067291	2.717954	-6.840367
cAMP_Pathway_Cell_Survival_._Chemotaxis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
cAMP_Pathway_Cytokine_Production	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
cAMP_Pathway_Degradation_of_Cell_Cycle_Regulators	0.606215	-3.030492	0.606215	0.606215	0.606215	0.606215	0.606215	0.606215	-0.414243	-0.798768	0.606215	-0.414047	-4.052649	-0.404922	0.606215	0.606215	0.606215	-1.557418	0.606215	-1.233107	-1.583174	0.606215	0.606215	-1.722195	-4.295850	-2.339362	-4.068926
cAMP_Pathway_Endothelial_Cell_Regulation	0.386020	1.230012	-1.063940	1.230012	-0.879038	1.230012	1.230012	1.230012	-2.615107	-1.977995	0.768816	1.230012	-0.572533	0.578129	-0.243703	-0.260877	-1.126308	-0.224273	-0.147058	0.866571	-0.959376	1.230012	1.230012	0.002987	1.230012	-1.439711	-0.011084
cAMP_Pathway_Glycogen_Synthesis	0.606215	-3.030492	0.606215	0.606215	0.606215	0.606215	0.606215	0.606215	-0.414243	-0.798768	0.606215	-0.414047	-4.052649	-0.404922	0.606215	0.606215	0.606215	-1.557418	0.606215	-1.233107	-1.583174	0.606215	0.606215	-1.722195	-4.295850	-2.339362	-4.068926
cAMP_Pathway_Glycolysis	4.989080	0.330863	-0.762834	-3.886209	-3.886209	-3.886209	-3.886209	4.737199	-0.661859	6.912385	0.224135	-0.662379	-0.847867	-1.499427	-3.886209	-3.842342	-0.074673	-3.886209	-3.886209	-2.415830	-3.517365	-3.478658	-3.886209	-3.886209	-3.886209	-3.416132	-1.404017
cAMP_Pathway_Metabolic_Energy	-0.340310	-1.123004	2.206393	0.365781	1.251438	0.834007	-2.403827	-2.403827	1.092586	0.520764	0.447226	0.438089	0.779999	0.745125	0.258854	0.095925	-0.498059	-0.949542	-1.026757	0.858414	1.526388	4.037755	-0.509911	-0.075417	-1.022242	4.090605	1.924788
cAMP_Pathway_Myocardial_Contraction	0.606215	-3.030492	0.606215	0.606215	0.606215	0.606215	0.606215	0.606215	-0.414243	-0.798768	0.606215	-0.414047	-4.052649	-0.404922	0.606215	0.606215	0.606215	-1.557418	0.606215	-1.233107	-1.583174	0.606215	0.606215	-1.722195	-4.295850	-2.339362	-4.068926
cAMP_Pathway_Oncogenesis	0.606215	-3.030492	0.606215	0.606215	0.606215	0.606215	0.606215	0.606215	-0.414243	-0.798768	0.606215	-0.414047	-4.052649	-0.404922	0.606215	0.606215	0.606215	-1.557418	0.606215	-1.233107	-1.583174	0.606215	0.606215	-1.722195	-4.295850	-2.339362	-4.068926
cAMP_Pathway_Protein_Retention	0.606215	-3.030492	0.606215	0.606215	0.606215	0.606215	0.606215	0.606215	-0.414243	-0.798768	0.606215	-0.414047	-4.052649	-0.404922	0.606215	0.606215	0.606215	-1.557418	0.606215	-1.233107	-1.583174	0.606215	0.606215	-1.722195	-4.295850	-2.339362	-4.068926
cAMP_Pathway_Regulation_of_Cytoskeleton	0.606215	-3.030492	0.606215	0.606215	0.606215	0.606215	0.606215	0.606215	-0.414243	-0.798768	0.606215	-0.414047	-4.052649	-0.404922	0.606215	0.606215	0.606215	-1.557418	0.606215	-1.233107	-1.583174	0.606215	0.606215	-1.722195	-4.295850	-2.339362	-4.068926
Caspase_Cascade	-24.632568	21.863222	-27.060143	-11.914788	0.454008	-15.266877	14.678803	2.235204	-6.422058	46.065198	-4.061481	11.125724	28.098316	9.447868	18.065126	-6.358270	-14.165144	-9.304223	-5.382147	39.127210	12.820770	41.869920	-9.130542	13.356189	14.736768	61.199092	8.462025
Caspase_Cascade_Activated_Tissue_Trans_glutaminase	-2.099764	10.622217	-4.659540	-1.445157	-4.811410	-1.554836	-1.505347	2.387282	-0.152245	3.218800	-1.377582	2.472414	-1.102346	-0.386300	-4.018391	1.779875	-3.522083	-10.386414	-1.589848	1.476200	2.099356	-3.799012	0.263020	-10.050393	-3.686505	10.342358	-5.479451
Caspase_Cascade_Apoptosis	-6.617519	2.112753	-6.764937	-7.891173	-4.512104	-5.303034	9.388515	3.397165	1.156251	15.034083	-2.559685	7.967973	8.071737	0.350630	15.209937	-3.413997	2.669855	7.961618	-1.777238	6.892534	4.638396	16.369338	0.722888	3.831655	-4.014793	19.113977	6.133412
Caspase_Cascade_Cell_Survival	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Caspase_Cascade_ICAD_Degradation	-5.393253	1.229278	-5.815249	-5.491346	-5.815249	-5.295953	13.376460	7.514431	-5.560134	11.251014	-0.549421	8.011229	9.883024	-0.072691	14.905858	1.146545	6.884002	22.343763	-0.310035	5.080591	10.532320	32.713666	7.114057	3.244018	-5.124456	16.724861	-4.866133
CD40_Pathway	5.314415	-3.152570	3.510054	-1.606836	-5.685822	-5.539244	-2.583983	1.485661	0.538165	7.720159	1.045445	-9.686067	3.003234	-7.014682	-0.692260	5.985534	-0.156623	-9.263932	-1.491525	16.457983	9.006518	21.991229	17.625694	3.342092	-1.221604	8.875746	-0.975061
CD40_Pathway_Gene_Expression	2.744978	-2.426719	1.241393	-0.003297	-1.016902	-1.388128	-0.298876	0.438458	-0.072197	0.781289	-0.122708	-2.426719	0.778759	-1.569975	-0.953004	2.915801	0.549224	-2.426719	-0.662838	2.074201	0.524032	2.848291	5.464027	-2.426719	-1.045134	-0.836404	-1.185623
CD40_Pathway_IKBs_Degradation	5.948614	-1.537963	3.969835	0.235767	-7.034500	-7.034500	-7.034500	5.662472	0.029066	6.795708	-3.263940	-7.034500	-0.916623	-6.055321	0.334077	8.993058	1.893330	-4.125929	-1.742856	-3.187263	-2.608373	-3.774099	16.637739	-3.273774	-7.034500	-1.406033	-3.311212
Cellular_Anti_Apoptosis_Pathway	5.742599	26.146032	-6.050558	-1.362786	-6.794404	-2.314639	-12.465193	-24.306814	-12.373439	33.779202	-33.072800	19.400084	8.355162	1.600883	2.292427	-5.567084	-3.416247	17.542012	14.373847	8.187208	40.492052	38.700146	35.940847	13.744234	23.705976	25.719415	-15.363703
Cellular_Anti_Apoptosis_Pathway_Apoptosis	6.783598	8.891393	3.786547	5.063710	0.948466	4.806692	-7.663808	-8.623064	-7.292463	-6.701072	9.694618	8.238755	9.282224	12.832993	2.692005	4.919469	3.768101	-5.631368	4.394243	19.233786	20.711349	19.120966	11.323686	11.983347	10.676027	12.129333	-14.196929
