Path_way_name	Normal_1_S	Normal_2_S	Normal_3_S	Normal_4_S	Normal_5_S	Normal_6_S	Normal_7_S	Normal_9_S	Normal_10_S	Normal_11_S	Normal_15_S	Normal_16_S	MM1_S	MM2_S	MM3_S	MM4_S	MM5_S	MM6_S	MM7_S	MM8_S	MM9_S	MM10_S	MM11_S	MM12_S	MM13_S	MM16_S	MM17_S	HL1_S	HL2_S	HL3_S	HL5_S	HL6_S	HL7_S	HL8_S	HL10_S	HL11_S
AKT_Pathway_Caspase_Cascade	-2.068194	2.780786	-4.483255	0.644164	-2.696386	2.212871	-1.544807	-3.423549	-3.151761	-0.176840	2.390032	9.516940	2.800270	2.426880	3.026199	-3.596272	-2.302053	7.196471	-3.738923	-6.028882	-2.449825	-1.853819	1.454095	-1.305799	5.488464	2.975589	-0.364460	3.648098	9.455881	-1.384064	3.377797	5.860504	2.722028	0.876690	6.237906	0.467088
AKT_Pathway_Cell_Cycle	-1.794812	0.460911	0.753801	-1.240977	-0.130058	-1.283761	-0.030176	1.584418	1.547306	1.929564	-1.848828	0.052612	-0.875324	-1.477559	-0.392820	-1.938149	-1.573886	3.044248	-0.380126	-1.751951	1.446668	1.690254	-1.345533	1.025379	3.044248	-0.379044	0.488425	0.858603	0.015649	-0.356907	0.070764	-1.101434	-0.560636	0.948828	0.233114	-0.837177
AKT_Pathway_Cell_Cycle_Progression	-0.945655	0.643996	1.130367	-1.203343	0.524495	-1.901789	0.770995	2.526443	0.958693	2.671242	-3.386348	-1.789096	-0.541285	-0.531455	0.190149	0.087733	0.071288	-0.875739	1.263152	-1.966053	-1.254727	1.008007	-0.978734	4.598396	3.089720	-0.812071	7.700008	4.722321	3.858712	-2.235364	-0.542374	2.175022	2.263770	0.763774	9.406440	1.424491
AKT_Pathway_Cell_Survival	-1.068206	-0.431757	-0.288076	-0.573405	0.193090	-1.076268	0.392847	0.995571	0.753059	0.812191	-0.013156	0.304110	-0.863173	-0.955189	-1.096795	-1.575021	-0.703797	0.569252	-0.882289	0.359573	-1.660672	0.792494	1.456679	-0.685280	-0.682517	1.882097	0.831404	-0.077699	0.617161	1.462195	-0.835973	-0.137426	1.837409	1.134356	0.498074	0.043176
AKT_Pathway_Death_Genes	1.356882	-0.245693	-1.860978	1.484400	2.808286	1.847783	2.553336	1.787082	-2.893537	-1.648689	-2.775686	-2.413185	2.328489	1.945480	1.205266	0.479650	-1.202240	7.401409	-4.993949	-2.030486	-8.787448	-5.355657	-6.709993	-6.341054	-0.671245	6.614210	-0.561667	-2.404791	1.361736	-1.209401	-2.075118	-3.162471	0.001433	-2.273829	1.679093	-10.465161
AKT_Pathway_Elevation_of_Glucose_Import	0.897667	3.867540	2.398186	1.581528	1.839376	-0.729105	0.997742	-1.679584	-3.941224	-6.878023	0.333671	1.312227	1.167077	-0.153475	1.533338	-0.373868	-2.123823	5.330283	2.022747	0.366494	9.041667	5.980328	-11.059578	3.525282	5.721265	-1.307857	4.245763	6.432181	-1.301682	-1.812512	-0.414650	-0.975429	-3.600538	1.297700	-0.020943	-15.718280
AKT_Pathway_ERK_Pathway	1.712232	0.177503	-0.062379	0.876427	-0.019352	0.653961	0.402956	-0.498069	-1.024942	-0.772243	-0.386521	-1.059574	0.686273	1.145602	0.644479	1.202967	0.850708	1.127304	-0.712956	-0.901536	-1.050813	-3.714531	-3.575477	0.165360	-0.005869	-0.406337	0.132594	1.170555	0.825680	-0.737319	-0.044834	-0.054500	-0.855340	-0.950204	0.065040	-2.588471
AKT_Pathway_Genetic_Stability	1.223717	0.379936	1.025990	1.994914	0.785585	0.558139	0.623145	-0.183902	0.270539	-1.445334	-3.079793	-2.152935	2.754964	1.695791	0.649655	3.815106	0.818076	0.655318	-2.977883	-1.830769	-2.287997	-7.070683	-3.524262	3.347990	0.960535	1.787724	-0.419476	6.690730	-4.191732	-1.116258	1.256149	0.249379	-3.416123	0.261594	10.371714	-6.608281
AKT_Pathway_Glucose_Uptake	11.929002	-3.995495	-0.583872	8.153229	-0.832729	9.848811	-0.415251	-5.673167	-7.237849	-5.840667	-2.806880	-2.545132	7.121826	10.699917	5.126907	11.659892	9.214647	4.189834	4.143888	-1.912281	-0.392572	-15.977259	-10.623065	-8.268327	-9.723640	-3.612611	-1.452820	-0.358489	-3.370519	2.743617	-0.678397	-0.825275	-5.669375	-2.155623	2.395288	-1.588307
AKT_Pathway_Glycogen_Synthesis	-1.794812	0.460911	0.753801	-1.240977	-0.130058	-1.283761	-0.030176	1.584418	1.547306	1.929564	-1.848828	0.052612	-0.875324	-1.477559	-0.392820	-1.938149	-1.573886	3.044248	-0.380126	-1.751951	1.446668	1.690254	-1.345533	1.025379	3.044248	-0.379044	0.488425	0.858603	0.015649	-0.356907	0.070764	-1.101434	-0.560636	0.948828	0.233114	-0.837177
AKT_Pathway_Insulin_Stimulated_Mitogenesis	1.752588	1.658716	-0.813184	1.014514	0.918461	-0.094968	1.345171	-2.207457	-4.430828	-2.891701	1.822535	1.926153	1.309525	2.029913	0.999663	1.182259	0.052583	3.005298	-3.799863	-1.410173	-1.596493	-24.553554	-7.670021	2.191937	-3.232709	2.951873	1.966483	2.774774	-0.158347	-3.922897	0.789872	-1.665489	-1.599161	-2.690545	-1.353188	-14.861272
AKT_Pathway_JNK_Pathway	4.510605	0.391467	-0.573456	1.771076	-0.684162	0.956571	0.455411	1.014486	-1.580495	-1.955439	-1.910233	-2.395831	1.888923	3.479702	0.013532	4.040641	0.955151	1.420611	-0.224327	-0.766166	-0.900041	-3.167520	-8.233886	-2.031758	-0.243217	-2.722203	2.511701	0.732755	0.433812	-0.273052	-0.195680	2.964562	-1.507852	0.586294	2.711497	-3.689294
AKT_Pathway_Neuroprotection	-3.189264	4.442907	-0.878221	-1.092188	1.581898	-3.256836	0.421527	-0.090398	2.298178	3.950350	0.728138	-4.916091	-3.274110	-2.872455	0.349665	-0.451114	-1.074922	11.093495	7.412975	-1.537933	6.737261	-8.699463	-11.481411	0.682909	4.208436	1.771342	-9.986162	6.763079	2.901949	-2.839214	0.658937	8.729887	7.128206	-6.163851	1.992602	-6.371844
AKT_Pathway_NF_kB_Pathway	5.329316	0.255540	-1.110440	2.678909	-1.557686	2.729287	1.557083	-5.242777	-3.653776	-1.735712	4.874185	-4.123929	2.166411	5.535875	0.402782	5.055775	0.481780	-8.503268	-4.525212	-9.799356	2.705362	-4.962753	-17.908831	0.212346	0.461586	-0.328369	-10.492688	-8.416765	-0.705023	-12.232513	-2.757260	-3.752189	-4.871013	-0.303323	-5.864090	-8.494655
AKT_Pathway_p53_Degradation	0.101252	-0.243802	0.660083	-0.375562	0.144673	0.181290	-0.163215	0.869199	-0.340816	0.173225	-0.300498	-0.705829	-0.243235	-0.808160	-0.258651	-0.154005	-0.330907	0.632168	4.776674	1.340923	-1.701429	-0.798808	-1.274999	-0.817761	-1.086581	1.589768	1.585526	0.417634	0.364764	-0.115403	0.440958	0.073459	0.047436	0.196858	-0.181787	1.432078
AKT_Pathway_p73_Mediated_Apoptosis	-5.807274	4.248246	2.451967	-2.257912	3.898047	-6.067129	3.370418	-2.586220	-6.366499	-2.272806	6.024834	5.364329	-5.126922	-6.250178	-0.314933	-6.008050	-3.885174	10.522418	6.841899	-0.885176	-2.883428	-3.223232	1.116856	1.158520	-6.407410	7.455136	8.532998	10.608921	9.919170	6.793173	4.441909	8.158811	6.557130	-9.628794	-0.035509	3.090869
AKT_Pathway_Protein_Synthesis	-2.348414	0.812853	-0.358967	-1.012837	0.528869	-1.022893	0.249423	-1.712256	-0.088711	1.811878	1.811878	1.329177	-0.476900	-1.771402	-1.315613	-2.463663	-2.177158	-0.106867	1.811878	1.811878	1.811878	0.457884	1.811878	1.811878	1.811878	1.811878	1.811878	-0.848949	0.678734	1.811878	1.811878	1.811878	1.811878	1.811878	1.811878	1.811878
AKT_Pathway_Regeneration_of_Cyclic_Nucleotide	3.103543	1.621932	-0.555441	1.017465	-1.979512	-0.997910	0.556356	-1.513790	-0.801547	-0.203485	-5.818323	5.570714	1.332871	2.439302	0.498259	4.037869	3.772362	-8.120937	-2.641112	-5.600857	-9.448752	-13.742627	6.332888	2.025819	2.593798	0.847407	2.219417	1.018585	3.714573	-11.850182	-2.374929	-10.484545	-12.086225	2.510798	-5.481759	-8.112324
AKT_Pathway_Respiratory_Burst	-0.011581	2.536786	1.708967	3.216492	0.778838	-2.420535	1.298379	-1.006183	-4.590385	-7.686321	3.589676	2.585867	1.747301	-0.487369	1.494600	-3.159948	-0.512127	-7.716246	1.182061	4.107367	2.328717	-11.907710	-8.709400	-2.252043	-1.217032	3.096974	2.567775	4.553603	5.249221	-0.373295	0.902759	2.544812	1.736799	-3.888049	-0.451005	-10.870240
AKT_Pathway_Survival_Genes	5.620999	3.749250	1.496375	2.848752	1.745425	3.636918	2.533856	-3.347762	-4.925311	-4.312229	-5.175917	-3.870355	4.404346	4.569248	2.885914	4.513571	2.944515	-4.642050	-1.376592	-3.714891	-2.791794	-9.483885	-9.344831	1.085089	4.266567	1.647955	-2.850285	2.008253	2.442433	-6.506672	1.942992	-0.102914	0.585073	3.432795	2.478908	-3.397716
AKT_Pathway_Synaptic_Signaling	0.088111	-2.178828	4.367832	2.174995	-1.525199	5.473717	2.410102	-6.542792	-4.385442	-7.365314	12.335106	-4.852289	4.195254	4.393473	2.089236	6.238290	2.157289	9.189762	-7.187453	7.635653	-8.201025	0.006995	-15.775018	6.763092	4.002947	3.381902	11.788894	13.449430	7.546184	-7.260541	5.603957	8.850729	0.653922	12.939950	9.964568	0.564389
AKT_Pathway_Translation	-0.473328	0.740755	-0.288233	0.311474	0.209099	-0.480815	0.022304	-0.761896	-0.520359	-0.464326	0.236544	1.468780	0.153538	-0.300384	0.110554	-0.687223	-1.080806	1.345160	-0.093293	0.120783	0.892754	-0.576495	-0.269970	1.636011	1.534747	1.992862	0.249570	0.190257	1.039816	0.138929	1.352681	1.491311	1.270966	-1.535870	2.304532	-0.111282
Androgen_receptor_Pathway	25.189280	-29.208272	-24.012402	-3.170716	-6.183254	-15.517979	-9.452895	59.543305	29.966593	29.744363	-57.336203	0.438179	-14.953190	18.564067	-52.405529	-6.267822	17.225379	12.646381	-11.812383	-17.690052	-37.422056	18.208151	-8.809256	-2.054125	-12.731275	-12.399614	31.997420	9.448912	-7.469066	-68.237117	-67.265561	-27.776401	-4.216705	47.867328	-51.812988	-16.667566
Androgen_receptor_Pathway_Apoptosis	1.685068	0.942013	0.483680	1.000833	0.320011	-0.416148	2.132114	-3.456419	0.579165	0.532732	-2.134840	-1.668208	1.156701	0.861466	1.070788	0.798431	1.098248	-4.722882	-2.412961	-0.458245	-5.558935	-7.421813	-0.845214	1.533231	-3.632086	1.026150	0.457761	-0.259553	-0.265265	2.706035	-0.660927	-0.865709	-0.813142	2.909005	-1.480664	-2.546272
Androgen_receptor_Pathway_AR_Degradation	-25.001419	-26.080630	-20.697155	-25.266714	-10.638606	-50.723716	-5.241640	51.638610	39.768836	38.837113	13.681988	19.723334	-45.674412	-25.196826	-68.188147	-51.680279	-5.515683	56.640928	7.435070	2.728566	23.470690	50.401242	43.085339	-6.083073	7.115796	8.597873	43.859699	5.711021	14.357597	24.035867	-52.025688	25.457803	41.929484	13.092088	-9.175626	37.460455
Androgen_receptor_Pathway_Cell_Survival_._Cell_Growth	4.380773	1.237591	-1.627026	2.564082	0.658907	5.836681	-0.254202	5.050859	-0.185204	-1.850402	-18.177466	2.365406	2.463495	4.184069	1.323930	4.183456	1.286043	-6.204897	-6.316576	-5.635668	-5.087086	2.249761	-14.217243	2.459075	-1.306008	-2.107404	-5.119823	3.753128	-3.192588	-4.791866	-0.395357	0.270706	-0.953068	1.756955	1.355363	-10.954233
Androgen_receptor_Pathway_Gonadotropin_Regulation	5.082687	-3.725629	0.244732	-1.279447	3.076629	-1.578277	-0.747225	7.659591	-0.039122	2.770540	-5.277016	-6.187462	-1.593924	4.083001	-5.507464	0.052052	2.584953	7.308698	3.560199	4.264714	-3.515079	-0.752492	3.894820	0.010276	0.039173	3.787906	11.168366	2.711194	1.361046	-16.597417	-6.529323	-11.026968	1.049518	7.928590	-5.778921	6.966706
Androgen_receptor_Pathway_Histone_Modification	5.082687	-3.725629	0.244732	-1.279447	3.076629	-1.578277	-0.747225	7.659591	-0.039122	2.770540	-5.277016	-6.187462	-1.593924	4.083001	-5.507464	0.052052	2.584953	7.308698	3.560199	4.264714	-3.515079	-0.752492	3.894820	0.010276	0.039173	3.787906	11.168366	2.711194	1.361046	-16.597417	-6.529323	-11.026968	1.049518	7.928590	-5.778921	6.966706
Androgen_receptor_Pathway_Prostate_Differentiation_._Development	5.082687	-3.725629	0.244732	-1.279447	3.076629	-1.578277	-0.747225	7.659591	-0.039122	2.770540	-5.277016	-6.187462	-1.593924	4.083001	-5.507464	0.052052	2.584953	7.308698	3.560199	4.264714	-3.515079	-0.752492	3.894820	0.010276	0.039173	3.787906	11.168366	2.711194	1.361046	-16.597417	-6.529323	-11.026968	1.049518	7.928590	-5.778921	6.966706
Androgen_receptor_Pathway_Sexual_Differentiation_._Sexual_Maturation_at_Puberty	5.082687	-3.725629	0.244732	-1.279447	3.076629	-1.578277	-0.747225	7.659591	-0.039122	2.770540	-5.277016	-6.187462	-1.593924	4.083001	-5.507464	0.052052	2.584953	7.308698	3.560199	4.264714	-3.515079	-0.752492	3.894820	0.010276	0.039173	3.787906	11.168366	2.711194	1.361046	-16.597417	-6.529323	-11.026968	1.049518	7.928590	-5.778921	6.966706
ATM_Pathway	-9.378158	8.598558	5.749057	-5.950593	3.472649	-0.252962	3.172874	1.606217	-2.651456	-6.600434	0.862703	1.371546	-0.602691	-11.691563	-6.395737	-2.321585	-7.120474	16.915078	12.664734	4.456561	13.099323	0.993618	9.727300	3.932405	3.551012	7.338934	-22.325605	2.219022	9.406793	-6.069831	8.751877	-5.464988	-19.789737	2.701339	6.709292	-2.626666
ATM_Pathway_Apoptosis	1.815514	-2.447627	0.157669	-0.078027	-0.214010	1.780228	-0.975354	1.088334	1.430767	1.635932	0.244826	-4.438254	-0.607591	3.015744	-0.256217	1.758399	3.232087	-2.224624	6.886227	-0.248390	-4.135736	2.559546	-0.438506	-0.885004	-3.505985	-1.726029	5.713363	-1.884878	1.801805	3.328737	-1.477246	-1.229879	-1.148443	4.244786	5.529594	6.665370
ATM_Pathway_Apoptosis_._Senescense	16.213310	-2.450719	-2.611609	5.285649	-4.186501	10.248839	-1.134953	-2.128635	-5.977794	-6.803389	-2.734446	-3.719752	8.335873	14.273316	0.574366	11.846512	14.673151	-3.795552	-5.618475	-11.954271	3.395247	-8.583225	7.464834	-4.240583	-9.072173	-8.103600	-2.439881	-9.365662	-9.999129	-11.762177	-11.005107	-1.682753	-24.417698	12.333875	-8.057842	7.052440
ATM_Pathway_Cell_Cicle_Checkpoint_Control	-1.511214	2.297856	-0.139880	-1.030320	0.459784	-0.850515	2.094664	-1.026096	0.655878	-0.403271	-3.946873	3.399987	0.584671	-1.182608	-0.973821	-0.458419	-0.428067	3.426737	-11.475637	-1.990212	-1.295297	0.726619	-8.931605	0.273578	2.479537	4.927840	6.450553	1.555009	-3.434156	-2.963926	1.730400	-0.759223	2.089483	-6.287569	-0.945784	-5.614378
ATM_Pathway_Cell_Survival	15.288788	-2.338330	-1.139495	5.972164	-7.107805	11.759842	0.687656	-8.225275	-1.397840	-0.419827	3.677312	-16.757191	14.257986	14.264504	2.968162	15.275884	7.583854	-5.942817	-15.365297	0.461103	-12.996418	-13.494673	-0.746802	-4.210055	-3.578163	4.256020	-18.490983	-3.401296	-4.019082	-15.238838	2.802948	-5.984979	-12.128554	14.767174	-9.708346	-15.814886
ATM_Pathway_Checkpoint_Activation	9.567603	-4.085445	0.084239	2.787638	-3.591846	7.339742	-0.906253	0.150674	-1.371975	-4.049237	-0.072157	-5.852985	4.103308	5.057451	2.000369	5.232176	4.981474	6.868732	-14.487742	-3.490463	3.281185	-10.382612	-7.262507	-10.626651	-2.897400	-8.028446	7.967009	-1.513979	-0.696552	-9.809304	-6.199836	-0.472853	-6.377130	-0.139330	1.185580	0.533861
ATM_Pathway_DNA_Repair	2.921461	-0.333346	-2.748953	-1.711601	-4.061565	0.984761	-0.314690	-1.158831	3.628441	2.917185	2.063061	-2.185923	0.872272	1.703873	-3.242427	1.363282	1.879328	0.669468	-4.074265	-1.270341	-1.556125	-7.975600	0.738924	-1.287329	2.505010	-1.685015	1.749628	0.494316	-2.555732	-5.624988	-4.180516	-4.332190	-9.596404	4.960294	-2.373402	-3.983824
ATM_Pathway_G2.M_Checkpoint_Arrest	-8.888088	3.148103	2.230875	-2.112627	2.903985	-1.508297	2.841250	4.590344	-0.539327	-1.648844	-4.430598	3.413222	-2.856599	-10.056256	-4.549954	-6.184360	-5.909563	9.218099	9.529417	-3.148426	3.775037	2.142066	7.807663	6.278356	2.784267	1.259738	-12.128213	-0.760517	0.696424	-1.570505	3.692518	-8.076744	-14.226432	-7.840614	-1.946325	6.700446
ATM_Pathway_G2_Mitosis_Progression	-9.528943	5.221142	4.357562	-5.529590	5.481261	-5.094815	0.877292	2.304763	1.370270	-1.039289	-2.989006	4.569353	-3.794733	-10.068339	-2.965210	-3.885026	-6.091287	2.304763	10.232428	4.742267	4.323709	5.012749	2.304763	7.264770	2.304763	3.551442	-2.576229	2.304763	7.905758	2.304763	7.012868	-4.117264	-1.144871	-2.170519	2.304763	2.304763
ATM_Pathway_MDMX_Ubiquitination_._Degradation	5.717672	1.266924	1.986339	1.585886	-2.608815	5.832345	-0.539131	1.188119	-4.545271	-5.768901	-2.643565	-1.471603	3.965775	3.928223	0.667200	3.062362	5.105656	-5.221169	-1.183090	-4.724151	0.968460	1.553033	4.663333	-2.224516	-1.581039	-4.118869	-2.989363	-1.269111	-1.217871	3.426432	-3.068829	1.793168	-6.970920	-2.808307	-1.282377	-3.166448
ATM_Pathway_NF_kB_Pathway	-3.001815	1.551092	0.817592	-4.954672	-3.776626	-1.242126	1.153289	2.980724	3.078702	2.423150	4.359030	-3.388341	-2.738052	-0.829952	-1.163783	1.147890	-0.430153	8.371176	-7.645653	-0.275376	8.413987	-4.818189	-1.280922	0.909417	-0.439601	-0.271132	5.329059	2.484549	-4.196170	-8.306860	-1.371468	-0.437132	1.204030	11.411210	1.526716	7.704348
ATM_Pathway_S_Phase_Arrest	5.660212	0.193682	-3.144111	0.680166	-2.305335	-0.231281	7.879357	-2.101568	-2.910414	-4.376733	-2.716985	3.373010	1.891587	0.668420	-2.369469	0.577904	2.050949	-8.004167	-5.654894	-2.877473	2.054195	-4.590195	-0.957288	-2.467450	-4.452682	-8.355943	-6.074326	-1.841475	-2.839419	-10.136801	-10.263567	-4.502433	-10.832270	7.541615	-2.983350	-2.387264
ATM_Pathway_S_Phase_Progresion	-0.101246	3.025128	1.355185	0.385735	2.045747	1.432221	2.351939	-3.073338	-6.747919	-7.539554	7.360185	-0.494082	2.287411	0.066939	1.839212	-0.319529	-1.368995	16.676554	14.234338	4.976101	13.924304	2.416404	-3.032805	-5.010176	-4.280586	5.689006	-14.035342	2.896768	4.555260	-9.548418	2.177851	10.402267	-1.916629	5.884833	16.025514	-7.867599
ATM_Pathway_Synaptic_Vesicle_Transport	-3.001815	1.551092	0.817592	-4.954672	-3.776626	-1.242126	1.153289	2.980724	3.078702	2.423150	4.359030	-3.388341	-2.738052	-0.829952	-1.163783	1.147890	-0.430153	8.371176	-7.645653	-0.275376	8.413987	-4.818189	-1.280922	0.909417	-0.439601	-0.271132	5.329059	2.484549	-4.196170	-8.306860	-1.371468	-0.437132	1.204030	11.411210	1.526716	7.704348
cAMP_Pathway	35.941240	-3.262971	-1.365528	10.717469	-5.296087	32.881223	-9.010835	13.381763	2.722726	-7.468283	-45.512779	-23.727938	16.572891	29.568484	8.883668	30.415381	13.841368	0.928195	-48.863257	-26.586328	-43.110946	10.800109	-43.403465	-11.528062	-21.712023	-30.735265	22.664519	-4.119223	-27.456953	-39.474402	-8.112499	-27.831413	-17.762129	-31.156432	-5.652343	-56.031126
cAMP_Pathway_Axonal_Growth	1.642435	0.031714	-1.487407	-2.937629	-0.929728	-3.402515	-4.769290	5.027049	5.828506	6.600015	-4.286305	-1.316843	-2.762388	-0.101537	-2.344006	-0.928334	-1.494924	6.403557	6.478099	-1.265285	3.823105	1.676566	7.238217	0.411368	-4.281805	1.279833	14.026181	-0.838424	1.459467	1.201930	1.646480	-3.393697	1.205390	-0.499498	0.529034	-5.156758
cAMP_Pathway_Cardiovascular_Homeostasis	-3.840497	1.457781	-0.570828	-2.621123	1.182936	-3.499368	0.022728	0.456210	1.129681	1.511938	2.626622	2.143921	-2.295804	-3.827347	-2.313618	-3.548150	-3.247575	2.626622	-1.092550	-0.548950	2.626622	2.626622	1.133575	1.289579	2.626622	1.569432	2.626622	1.154316	0.866732	-1.704584	2.626622	-0.598348	2.626622	-1.740821	-1.284382	-2.205007
cAMP_Pathway_Cell_Growth	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
cAMP_Pathway_Cell_Proliferation	-3.840497	1.457781	-0.570828	-2.621123	1.182936	-3.499368	0.022728	0.456210	1.129681	1.511938	2.626622	2.143921	-2.295804	-3.827347	-2.313618	-3.548150	-3.247575	2.626622	-1.092550	-0.548950	2.626622	2.626622	1.133575	1.289579	2.626622	1.569432	2.626622	1.154316	0.866732	-1.704584	2.626622	-0.598348	2.626622	-1.740821	-1.284382	-2.205007
cAMP_Pathway_Cell_Survival	-1.182662	2.921650	-1.656075	-1.443850	1.593366	-1.816369	1.567786	-0.775945	-0.168169	-0.799362	0.309153	1.450477	-0.259812	-1.425239	-1.621237	-1.004090	-1.879108	5.859581	-6.579892	1.697687	-3.225324	5.084498	1.326795	2.710243	2.848530	2.301583	2.517566	-0.808792	0.643448	-10.751689	1.829883	-1.032410	-2.286219	-0.368352	0.247906	-4.562919
cAMP_Pathway_Cell_Survival_._Chemotaxis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
cAMP_Pathway_Cytokine_Production	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
